Past draw results of lottery Euro Millions of the year 2022 (2022)
Date	SERIES						Star 1	Star 2
2023-03-17	05	15	26	37	49		08	11
2023-03-14	16	26	28	31	46		11	12
2023-03-10	09	16	37	38	48		02	07
2023-03-07	11	13	24	35	50		06	11
2023-03-03	03	06	08	24	50		10	11
2023-02-28	12	29	33	37	47		05	10
2023-02-24	07	23	34	42	48		01	03
2023-02-21	21	22	34	41	49		02	07
2023-02-17	08	23	27	42	45		01	09
2023-02-14	24	26	38	43	46		02	03
2023-02-10	03	13	25	36	47		03	08
2023-02-07	02	08	34	44	47		03	09
2023-02-03	02	14	17	32	45		03	10
2023-01-31	07	12	19	33	43		03	07
2023-01-27	08	09	15	19	31		10	12
2023-01-24	11	27	41	43	47		07	11
2023-01-20	03	06	13	40	42		07	11
2023-01-17	18	21	30	46	50		02	06
2023-01-13	04	13	25	33	37		05	10
2023-01-10	11	13	34	40	42		03	10
2023-01-06	16	31	35	44	45		04	12
2023-01-03	20	21	29	45	46		03	10
2022-12-30	17	34	42	47	48		01	09
2022-12-27	19	31	33	34	43		03	05
2022-12-23	16	17	23	26	35		05	11
2022-12-20	01	11	17	20	27		04	05
2022-12-16	02	15	19	35	44		02	07
2022-12-13	03	09	12	26	30		10	11
2022-12-09	08	27	31	46	50		01	03
2022-12-06	12	20	25	26	27		08	12
2022-12-02	12	21	35	39	45		06	11
2022-11-29	15	20	24	35	38		08	12
2022-11-25	19	21	35	37	39		02	06
2022-11-22	21	22	24	29	42		03	11
2022-11-18	13	16	19	35	41		01	11
2022-11-15	13	21	24	31	33		01	12
2022-11-11	02	19	24	25	44		02	10
2022-11-08	03	05	32	33	50		01	08
2022-11-04	02	11	37	45	47		02	03
2022-11-01	19	37	42	47	48		01	06
2022-10-28	14	16	21	28	35		01	11
2022-10-25	07	24	34	39	46		01	06
2022-10-21	25	26	28	38	40		01	06
2022-10-18	03	05	13	42	48		01	06
2022-10-14	24	28	29	34	48		03	07
2022-10-11	08	23	32	35	40		01	08
2022-10-07	26	27	42	45	50		01	12
2022-10-04	03	18	28	42	43		03	12
2022-09-30	01	02	11	16	26		03	12
2022-09-27	04	20	21	34	44		01	03
2022-09-23	14	15	22	35	48		03	08
2022-09-20	11	21	23	32	48		03	12
2022-09-16	10	27	36	45	49		03	04
2022-09-13	09	12	15	40	47		01	11
2022-09-09	17	23	24	26	27		04	09
2022-09-06	07	10	22	29	44		04	05
2022-09-02	07	12	13	20	45		03	12
2022-08-30	04	06	10	15	19		01	04
2022-08-26	22	23	25	38	44		11	12
2022-08-23	19	26	31	39	48		02	03
2022-08-19	02	09	13	19	38		02	06
2022-08-16	10	14	25	32	39		07	08
2022-08-12	14	17	34	35	42		06	10
2022-08-09	18	19	21	27	47		05	11
2022-08-05	03	29	33	35	44		08	10
2022-08-02	07	18	28	40	48		08	11
2022-07-29	03	23	38	43	48		03	08
2022-07-26	03	05	17	25	27		01	09
2022-07-22	16	18	29	32	50		04	11
2022-07-19	06	23	27	40	41		02	12
2022-07-15	09	17	29	38	39		07	10
2022-07-12	14	18	24	25	50		06	11
2022-07-08	28	31	35	43	46		04	07
2022-07-05	07	10	25	45	48		03	06
2022-07-01	06	18	24	34	46		03	12
2022-06-28	10	35	42	47	48		02	11
2022-06-24	10	17	28	44	50		08	12
2022-06-21	06	23	36	39	47		08	10
2022-06-17	19	21	22	31	38		07	11
2022-06-14	02	07	27	34	40		03	11
2022-06-10	17	26	36	37	40		09	12
2022-06-07	06	16	17	25	31		02	06
2022-06-03	12	28	29	34	48		09	11
2022-05-31	03	10	13	42	49		03	09
2022-05-27	15	23	28	34	48		03	05
2022-05-24	10	13	27	36	37		02	10
2022-05-20	08	22	23	32	50		03	09
2022-05-17	05	28	30	48	49		05	11
2022-05-13	03	11	17	45	48		04	08
2022-05-10	03	25	27	28	29		04	09
2022-05-06	03	08	18	24	40		03	11
2022-05-03	08	20	26	47	48		03	08
2022-04-29	10	11	20	36	37		03	07
2022-04-26	04	25	28	34	45		08	11
2022-04-22	06	11	21	35	36		01	09
2022-04-19	02	12	17	28	46		06	10
2022-04-15	06	24	30	32	48		05	06
2022-04-12	21	30	31	35	47		02	10
2022-04-08	01	15	16	38	45		04	11
2022-04-05	01	11	13	24	49		05	06
2022-04-01	02	07	21	31	45		04	10
2022-03-29	08	11	33	42	43		06	11
2022-03-25	06	10	24	27	29		05	12
2022-03-22	07	17	21	29	40		08	11
2022-03-18	01	09	14	17	43		06	12
2022-03-15	01	02	12	19	26		02	08
2022-03-11	12	19	22	23	48		02	06
2022-03-08	12	18	21	25	31		02	09
2022-03-04	06	20	40	42	43		10	12
2022-03-01	08	24	26	39	42		03	05
2022-02-25	10	13	24	30	42		01	05
2022-02-22	05	09	14	26	32		03	07
2022-02-18	25	38	41	43	50		06	10
2022-02-15	09	20	31	33	44		02	12
2022-02-11	13	18	38	42	45		07	11
2022-02-08	06	20	34	37	43		07	10
2022-02-04	03	25	38	43	49		03	07
2022-02-01	01	19	36	38	49		06	09
2022-01-28	10	25	29	34	45		09	10
2022-01-25	06	16	18	39	47		02	04
2022-01-21	05	14	35	36	39		07	12
2022-01-18	03	12	19	24	30		02	05
2022-01-14	06	17	25	31	46		09	12
2022-01-11	04	23	32	33	44		09	12
2022-01-07	02	14	37	44	50		07	11
2022-01-04	18	28	35	36	41		06	11


Lottologia.com
